N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
8,4,Standard QAOA,3.0,45,0.0,True,N_scaling,95.82364405332507,0.0,0.0,2.3243273563914553,1.1681966324458155,0.3166653999942355,-0.21320197150807466
8,4,XY-QAOA,3.0,45,,True,N_scaling,100.0,16.15738420947781,16.15738420947781,2.0899115257993777,0.9283236541089306,0.31459029999678023,-0.17875410982933362
8,4,XY-QAOA Regularized,3.0,45,0.0,True,N_scaling,99.99999999999997,16.15738420947781,16.15738420947781,2.0899115257993777,0.9283236541089306,0.3212621999991825,-0.17875410982933362
8,4,Gurobi,,46,,True,N_scaling,100.0,0.0,0.0,2.411032783861025,0.47142660326244507,0.0038933000032557175,-0.17278419732094824
8,4,Simulated Annealing,,46,,True,N_scaling,100.0,0.0,0.0,2.411032783861025,0.47142660326244507,0.018609999999171123,-0.17278419732094824
8,4,Standard QAOA,3.0,46,0.0,True,N_scaling,91.70453221390073,52.22331488812688,52.22331488812688,1.1068796769022102,1.9400610580552224,0.3181018000032054,-0.08255056187710695
8,4,XY-QAOA,3.0,46,,True,N_scaling,100.0,17.81518178164215,17.81518178164215,1.7994151478076081,1.762541387709989,0.3114939999941271,-0.14200237847827005
8,4,XY-QAOA Regularized,3.0,46,0.0,True,N_scaling,99.99999999999997,0.0,0.0,2.411032783861025,0.47142660326244507,0.3252314999990631,-0.17278419732094824
8,4,Gurobi,,47,,True,N_scaling,100.0,0.0,0.0,2.351951949713781,0.5911471953039968,0.004074600001331419,-0.1727303676515245
8,4,Simulated Annealing,,47,,True,N_scaling,100.0,0.0,0.0,2.351951949713781,0.5911471953039968,0.016877200003364123,-0.1727303676515245
8,4,Standard QAOA,3.0,47,0.0,True,N_scaling,94.50738039404602,0.0,0.0,2.351951949713781,0.5911471953039968,0.3224052000005031,-0.1727303676515245
8,4,XY-QAOA,3.0,47,,True,N_scaling,100.0,22.168619665624558,22.168619665624558,1.8303775421067507,0.5066847500749309,0.3131052000098862,-0.13443842939982303
8,4,XY-QAOA Regularized,3.0,47,0.0,True,N_scaling,99.99999999999994,22.168619665624558,22.168619665624558,1.8303775421067507,0.5066847500749309,0.32079180001164787,-0.13443842939982303
8,4,Gurobi,,48,,True,N_scaling,100.0,0.0,0.0,2.6294139378726866,0.5807138122473282,0.003968600009102374,-0.16257825241349724
8,4,Simulated Annealing,,48,,True,N_scaling,100.0,0.0,0.0,2.6294139378726866,0.5807138122473282,0.017593299999134615,-0.16257825241349724
8,4,Standard QAOA,3.0,48,0.0,True,N_scaling,74.36390264260145,0.0,0.0,2.6294139378726866,0.5807138122473282,0.3255585000006249,-0.16257825241349724
8,4,XY-QAOA,3.0,48,,True,N_scaling,100.0,33.5954637754795,33.5954637754795,1.7794876124954395,0.48486795645467107,0.3129882000066573,-0.10795933451711315
8,4,XY-QAOA Regularized,3.0,48,0.0,True,N_scaling,99.99999999999993,8.291297131503525,8.291297131503525,2.446684388214071,0.6688873378764165,0.31594980000227224,-0.14909840643468839
8,4,Gurobi,,49,,True,N_scaling,100.0,0.0,0.0,2.6756217372733313,0.7918779786483614,0.004060799998114817,-0.18028762598178835
8,4,Simulated Annealing,,49,,True,N_scaling,100.0,0.0,0.0,2.6756217372733313,0.7918779786483614,0.01859949999197852,-0.18028762598178835
8,4,Standard QAOA,3.0,49,0.0,True,N_scaling,95.92790922484761,0.0,0.0,2.6756217372733313,0.7918779786483614,0.3136464999988675,-0.18028762598178835
8,4,XY-QAOA,3.0,49,,True,N_scaling,100.0,26.905119940971705,26.905119940971705,1.824258571507217,0.583286105493342,0.3112498999980744,-0.13178102397265773
8,4,XY-QAOA Regularized,3.0,49,0.0,True,N_scaling,100.00000000000007,0.0,0.0,2.6756217372733313,0.7918779786483614,0.3217813999945065,-0.18028762598178835
