N,K,regime,seed,solver,p,alpha,in_sample_obj,in_sample_gap,iterations,out_of_sample_sharpe,feasible,runtime
15,4,inflationary,44,sa,0.0,0.0,-0.1105750296582609,0.03796989996823437,1000,-0.43099757866758254,True,0.45696911600043677
15,4,inflationary,44,xy_normal,2.0,0.0,-0.04625791688273748,0.5975446848759999,51,1.6116122140983489,True,40.986674752
15,4,inflationary,44,xy_regularized,2.0,0.05,-0.04469325850684179,0.6111575996410291,53,1.0467437981812495,True,43.30889206499978
15,4,inflationary,44,xy_regularized,2.0,0.1,-0.04469325850684179,0.6111575996410291,51,1.0467437981812495,True,41.657117020999976
20,5,inflationary,42,gurobi,,,-0.1328518178426974,0.0,1,-0.394642307070496,True,0.02539348600021185
20,5,inflationary,42,sa,0.0,0.0,-0.12289151935005556,0.07497299362839945,1000,-0.13977400600622666,True,0.6239750990007451
20,5,inflationary,42,xy_normal,2.0,0.0,-0.004182372997918659,0.9685185113321462,53,2.290022217846147,True,85.56151082500037
20,5,inflationary,42,xy_regularized,2.0,0.05,-0.004182372997918659,0.9685185113321462,50,2.290022217846147,True,82.09878474000107
20,5,inflationary,42,xy_regularized,2.0,0.1,-0.004182372997918659,0.9685185113321462,45,2.290022217846147,True,72.8697272419995
20,5,inflationary,43,gurobi,,,-0.08885540379663541,0.0,1,-0.2252911611118486,True,0.03436145600062446
20,5,inflationary,43,sa,0.0,0.0,-0.08885540379663541,0.0,1000,-0.2252911611118486,True,0.6140789900000527
20,5,inflationary,43,xy_normal,2.0,0.0,-0.012517626070574921,0.8591236375536125,50,1.278935682160456,True,82.4964086609998
20,5,inflationary,43,xy_regularized,2.0,0.05,-0.012517626070574921,0.8591236375536125,47,1.278935682160456,True,77.48269344099936
20,5,inflationary,43,xy_regularized,2.0,0.1,-0.012517626070574921,0.8591236375536125,47,1.278935682160456,True,75.06796364799993
20,5,inflationary,44,gurobi,,,-0.1024936949208235,0.0,1,-0.32663641341173844,True,0.03966564000074868
20,5,inflationary,44,sa,0.0,0.0,-0.09769224496611997,0.04684629584690697,1000,0.291821587433036,True,0.6520169319992419
20,5,inflationary,44,xy_normal,2.0,0.0,-0.044390197129359044,0.5668982646820322,56,1.791702734783267,True,91.31002282400004
20,5,inflationary,44,xy_regularized,2.0,0.05,-0.021259914445836355,0.7925734411052342,44,1.0177304182494127,True,73.16585974400004
20,5,inflationary,44,xy_regularized,2.0,0.1,-0.01793592146917835,0.825004635816536,49,1.6094411370737927,True,78.86421934199825
